TIMESTAMP,Soil moisture at - 0.04 m (%),Soil moisture at - 0.1 m (%),Soil moisture at - 0.2 m (%),Soil moisture at - 0.4 m (%),Soil moisture at - 0.8 m (%),Soil moisture at - 1.2 m (%),Soil moisture at - 1.6 m (%),Soil temperature at - 0.04 m (K),Soil temperature at - 0.1 m (K),Soil temperature at - 0.2 m (K),Soil temperature at - 0.4 m (K),Soil temperature at - 0.8 m (K),Soil temperature at - 1.2 m (K),Soil temperature at - 1.6 m (K)
2018-07-12,17.9965691578,19.0912567734,20.8084912195,15.5063238972,7.79820603511,7.79290248426,7.79167838516,280.833659669,277.82021042,275.152497308,273.596198703,272.517726448,271.751457761,271.151600501
2018-07-13,18.0060838555,19.0902159364,20.7976841062,16.1602219473,7.79848208418,7.79298600205,7.79172704414,280.942923738,278.037707548,275.283698376,273.627482156,272.534893646,271.779281317,271.185401037
2018-07-14,18.0126257015,19.0885411891,20.787690521,16.7108302922,7.79879018758,7.79306952982,7.7917751825,279.307474809,277.299815067,275.046585418,273.59013663,272.552820514,271.80599643,271.217706551
2018-07-15,18.0224849486,19.0877102349,20.7783823153,17.3260455183,7.79917034098,7.79315534933,7.7918232378,280.863824233,277.892328911,275.220324832,273.620378625,272.573264676,271.832355668,271.24888849
2018-07-16,18.0291551957,19.0863870769,20.7697203146,17.9333391373,7.79966367535,7.79324627083,7.791871819,280.359791944,277.779828132,275.212648811,273.623654021,272.59744234,271.859150434,271.279380746
2018-07-17,18.0390600996,19.0859448272,20.7616740181,18.6768814483,7.80038247974,7.79334712201,7.79192187231,282.449114394,278.7736326,275.570329606,273.690599212,272.62860908,271.887595002,271.309766183
2018-07-18,18.0400430243,19.0834914404,20.7540839169,18.8323710672,7.80186534984,7.79347323001,7.79197574045,278.355725646,277.060408135,275.118690065,273.796464857,272.680857005,271.921405856,271.341357345
2018-07-19,18.0478574604,19.082734756,20.7469734805,18.6934599098,7.80322820619,7.79361256703,7.79203355957,280.288886918,277.683233684,275.379638359,274.03937338,272.720272912,271.956669752,271.374051911
2018-07-20,18.0557728523,19.082414109,20.740386723,18.5915490466,7.80429235948,7.79375181257,7.79209379426,282.070393201,278.729584679,275.87324855,274.255321278,272.746899234,271.989898154,271.406848747
2018-07-21,18.0599691384,19.0812359601,20.734159352,18.5145737344,7.80512837964,7.79388460568,7.79215475295,281.581352525,278.756808816,276.003898376,274.341756691,272.765752174,272.019867776,271.438799978
2018-07-22,18.0624333555,19.0794636654,20.7281926917,18.4536772349,7.8058114803,7.7940092731,7.79221524103,280.051186185,278.025076746,275.754297296,274.275378574,272.779987219,272.046594964,271.46934002
2018-07-23,18.0680044164,19.0786706911,20.7226622211,18.4043947021,7.80639785158,7.79412624723,7.79227460008,281.094860718,278.370474143,275.840437282,274.298852157,272.791432924,272.070521334,271.49824333
2018-07-24,18.0722937071,19.0778028571,20.7174682288,18.3641298579,7.80691914657,7.79423656632,7.7923325449,281.39688008,278.599225842,275.951321137,274.345588172,272.801051039,272.092132399,271.525492159
2018-07-25,18.0785962585,19.0776871925,20.7127217133,18.3315219104,7.80739275659,7.79434126445,7.79238900226,283.12301436,279.513511462,276.340750924,274.493571985,272.809367916,272.111838085,271.551169852
2018-07-26,18.0819667083,19.0769200643,20.7082126121,18.3053279181,7.80782877989,7.79444120202,7.79244400333,283.213460583,279.787096768,276.540995296,274.593642374,272.816695981,272.129958674,271.575397791
2018-07-27,18.0856685096,19.0762217083,20.7039640825,18.2844352738,7.80823506375,7.79453707882,7.79249762591,283.644773156,280.082005961,276.710546292,274.675779746,272.823256671,272.146744091,271.598304977
2018-07-28,18.0915965871,19.0764716055,20.700200146,18.2681718789,7.80861737567,7.79462946327,7.79254996518,285.379644144,281.022731864,277.127885465,274.842843523,272.829206589,272.162391185,271.620014767
