	Soil moisture at - 0.04 m (%)	Soil moisture at - 0.1 m (%)	Soil moisture at - 0.2 m (%)	Soil moisture at - 0.4 m (%)	Soil moisture at - 0.8 m (%)	Soil moisture at - 1.2 m (%)	Soil moisture at - 1.6 m (%)	Soil temperature at - 0.00 m (°C)	Soil temperature at - 0.04 m (°C)	Soil temperature at - 0.1 m (°C)	Soil temperature at - 0.2 m (°C)	Soil temperature at - 0.4 m (°C)	Soil temperature at - 0.8 m (°C)	Soil temperature at - 1.2 m (°C)	Soil temperature at - 1.6 m (°C)
36	7.465480902777777	7.810230902777778	8.237855902777778	8.470833333333333	4.944041666666667	3.28846875	4.612324652777778	-12.797307291666668	-13.469814236111112	-12.709894097222222	-12.655588541666667	-12.254930555555555	-11.302291666666667	-9.361699652777778	-8.151642361111112
37	7.433317708333332	7.797192708333333	8.244298611111113	8.508611111111112	4.963940972222223	3.289050347222222	4.608385416666667	-14.558069444444444	-13.88515625	-12.898524305555554	-12.634432291666666	-11.995972222222223	-11.108940972222223	-9.33203125	-8.176321180555556
38	7.441008680555555	7.797486111111112	8.2470625	8.514982638888888	4.973505208333333	3.2911840277777777	4.608201388888888	-14.561241319444445	-13.645416666666666	-12.749739583333334	-12.534270833333334	-11.92578125	-11.004878472222222	-9.290258680555556	-8.180538194444445
39	7.4354079861111115	7.795546874999999	8.255557291666666	8.527951388888889	4.981310763888889	3.296921875	4.607817708333333	-16.01312326388889	-13.858090277777778	-12.813263888888889	-12.481805555555555	-11.809930555555557	-10.916041666666667	-9.228295138888889	-8.173625
40	7.3958125	7.751697916666666	8.224105902777778	8.516927083333334	4.984489583333334	3.296446180555556	4.608612847222222	-16.326020833333335	-14.28345486111111	-13.2196875	-12.825642361111111	-11.949722222222222	-10.888854166666668	-9.196010416666667	-8.162989583333333
41	7.39938888888889	7.746293402777778	8.215300347222222	8.505156249999999	4.980842013888889	3.2964079861111113	4.609539930555556	-14.915946180555554	-14.145451388888887	-13.178836805555555	-12.863263888888888	-12.0490625	-10.941944444444445	-9.181154513888888	-8.157414930555555
42	7.44460763888889	7.787347222222222	8.248322916666666	8.516961805555555	4.978888888888889	3.296427083333333	4.605963541666667	-13.589277777777777	-13.494461805555556	-12.670104166666667	-12.50595486111111	-11.925833333333333	-10.944340277777778	-9.190229166666667	-8.164138888888889
43	7.4955364583333335	7.8428125	8.292013888888889	8.533333333333333	4.985690972222222	3.294060763888889	4.606274305555556	-11.94790451388889	-12.72642361111111	-12.008541666666666	-11.96451388888889	-11.634305555555557	-10.848506944444445	-9.160833333333333	-8.17657638888889
44	7.529154513888889	7.8820017361111105	8.331180555555555	8.567534722222222	5.000050347222222	3.2964600694444446	4.605050347222223	-12.208111111111112	-12.436319444444445	-11.704392361111111	-11.646006944444444	-11.362916666666667	-10.686197916666668	-9.051376736111111	-8.181741319444445
45	7.560303819444444	7.915967013888889	8.362413194444445	8.592222222222222	5.015055555555556	3.298857638888889	4.6050885416666665	-11.553989583333333	-12.21896701388889	-11.488352430555555	-11.448038194444443	-11.171458333333334	-10.537222222222223	-8.859642361111112	-8.172708333333333
46	7.601392361111111	7.960262152777778	8.40204861111111	8.620555555555555	5.029244791666667	3.304001736111111	4.607534722222222	-11.227848958333333	-11.90924826388889	-11.204878472222223	-11.182430555555555	-10.95876736111111	-10.393454861111111	-9.015381944444444	-8.151793402777777
47	7.645	8.004368055555556	8.452291666666667	8.660920138888889	5.047618055555556	3.3092430555555556	4.609774305555556	-11.650152777777777	-11.660668402777778	-10.871770833333333	-10.8334375	-10.67171875	-10.219288194444445	-8.988645833333333	-8.119954861111111
48	7.635930555555555	7.995215277777778	8.449131944444444	8.677430555555555	5.065477430555555	3.315032986111111	4.611536458333333	-12.021553819444446	-11.845651041666667	-11.06106076388889	-10.915607638888888	-10.601163194444444	-10.066163194444444	-8.904687500000001	-8.079222222222223
49	7.627855902777778	7.988168402777777	8.437170138888888	8.676822916666666	5.074086805555556	3.3205746527777777	4.6170607638888885	-13.028746527777777	-12.136847222222222	-11.279538194444445	-11.072994791666666	-10.643715277777778	-10.007065972222222	-8.829253472222222	-8.031949652777778
50	7.675220486111111	8.025395833333334	8.464791666666667	8.681059027777778	5.0765954861111116	3.3236979166666667	4.619704861111111	-12.297934027777778	-11.863838541666667	-11.11247048611111	-10.992286458333332	-10.644541666666667	-9.99439236111111	-8.776302083333334	-7.989215277777777
51	7.6924270833333335	8.068310763888888	8.508194444444445	8.707291666666666	5.082664930555556	3.325652777777778	4.62371875	-13.325092013888888	-11.844645833333335	-11.011541666666666	-10.818980902777778	-10.508862847222222	-9.938826388888888	-8.738675347222223	-7.957789930555555
52	7.630064236111112	8.010802083333333	8.463680555555555	8.701597222222222	5.089989583333333	3.3297899305555556	4.623960069444444	-14.120875000000002	-12.393072916666668	-11.454829861111111	-11.132954861111111	-10.586006944444444	-9.89699826388889	-8.722869791666668	-7.9300902777777775
53	7.588572916666667	7.965276041666666	8.4234375	8.681284722222223	5.083934027777778	3.3326163194444445	4.626536458333334	-13.909987847222222	-12.698645833333334	-11.73420138888889	-11.394739583333333	-10.75082986111111	-9.945706597222223	-8.697569444444444	-7.9062777777777775
54	7.575734375	7.951432291666667	8.407413194444445	8.666128472222223	5.078079861111111	3.3331493055555557	4.630119791666667	-14.115446180555557	-12.777916666666666	-11.835052083333334	-11.511493055555556	-10.868836805555555	-10.016428819444444	-8.695953125	-7.894189236111112
55	7.572982638888888	7.946920138888888	8.401493055555555	8.655572916666667	5.071642361111111	3.3335	4.629734375	-13.279984375000002	-12.58546875	-11.711892361111111	-11.475763888888888	-10.912083333333333	-10.071284722222222	-8.708335069444445	-7.895993055555555
56	7.5679565972222225	7.936840277777777	8.399114583333333	8.656979166666666	5.070302083333333	3.3293836805555554	4.628654513888889	-12.76265451388889	-12.3740625	-11.526336805555555	-11.351302083333334	-10.854496527777778	-10.075190972222222	-8.725348958333333	-7.9046545138888895
57	7.604697916666666	7.965571180555555	8.424184027777779	8.668003472222223	5.071008680555556	3.3272100694444444	4.629604166666667	-12.14073611111111	-11.930199652777777	-11.137413194444445	-11.067621527777778	-10.7209375	-10.03609375	-8.732644097222224	-7.914874999999999
58	7.659784722222223	8.015128472222223	8.46454861111111	8.694670138888888	5.078081597222223	3.3278819444444445	4.6267152777777785	-10.748703124999999	-11.456862847222222	-10.753579861111112	-10.759184027777778	-10.528871527777778	-9.942413194444445	-8.721656249999999	-7.919184027777778
